DC1 DC2 DC3 DC4 DC5 DC6 DC7 DC8 DC9 DC10 DC11 DC12 DC13 DC14 DC15 DC16 DC17 DC18 DC19 DC20
1 -0.362737946622927 0.0255197717123247 -0.000360420849647394 -0.014905793824248 -0.00334809628305922 0.00288700742641661 -0.00014760811115704 -0.000303770967196276 0.00132463017349783 0.00237269888012048 0.00133297681146756 0.000201059104332033 -0.000428811649830801 9.24192111691063e-05 6.17870836857293e-05 -6.27553350372001e-05 -8.64709223800941e-07 -7.40120761399954e-07 -1.06519890824552e-09 8.99689420186256e-10
2 -0.383532993597491 0.0271486527591613 -0.000539501060240186 -0.0197867902389185 -0.00444910640917867 0.00391753007029284 -0.000245691960598757 0.000202601065154295 -0.00066677099558175 -0.00217506252565641 0.00152723287169509 0.000239968437362723 -0.000391953635262121 6.60091983479584e-05 2.30507357700931e-05 -3.01263554872801e-05 -2.53242551352673e-07 -4.68984830748198e-07 -2.04661863845157e-10 5.57915574850298e-10
3 -0.310732464435998 0.0214779345535197 0.000136912198195081 -0.00115658115157313 -0.000303551380180176 0.000797879892793826 -0.000141043966804498 -0.000636741608450841 -0.00118278131086848 0.000290454426741811 -0.000109524812638918 0.000566356817660687 0.001494302304874 -0.000685843708038773 6.61122381223461e-05 -0.000166187797161883 1.25025651117119e-06 -7.96811778391859e-07 -5.70545268668843e-09 2.1264946886701e-09
4 -0.390379955132212 0.0276911544068577 -0.000582350674667415 -0.0206882691759176 -0.00431668885801599 0.00510707807894555 0.000241002257174436 -0.000297539423600335 0.000647298777410596 -0.000369771024273741 -0.000552987191376531 -0.00169009802519282 -0.000127766285177855 -5.7524108036805e-06 0.000108996991739206 -0.000121867770621461 -1.0892234427011e-06 -1.46393105199261e-06 -1.21202763103678e-10 1.44308689303818e-09
5 -0.451941436667249 0.0324704384171624 -0.000966020675442325 -0.0300948105923322 -0.00622604257408994 0.00707483243618898 0.00102947358972417 0.000290935041368415 0.000509886593135648 -0.000157414557394875 -0.000173902669774205 -9.63834339307475e-05 -0.000130696082115245 -0.000234938047797711 -0.000109829246220691 0.000179491167662744 -6.09716410239075e-05 -1.35839248505132e-06 7.86092343788014e-06 -1.60999506757659e-06
6 -0.39295259945914 0.0278866809926763 -0.000602859096388395 -0.021294272007554 -0.0044792172563857 0.00495555950329281 0.000178212878095055 -0.000253695607656063 0.000827583747788762 -0.000433236024742212 -0.00157158504369148 0.00097005234503833 -0.00061652757587527 0.000146070405333175 9.26605272143615e-05 -9.14581596306267e-05 -1.14767767855559e-06 -1.05879798661945e-06 -9.82043016350964e-10 1.22812333219757e-09
7 0.00223595896925786 0.00991925144696926 -0.000466094933217678 -0.00740728040837183 -0.000128415637740278 0.000957049762722134 0.000665135912178391 0.00786820609243017 -0.0331083377927069 -0.0502189012236898 -0.0494332902429658 -0.0100633674182948 0.03499496322111 -0.0176743877167098 0.00034588199006403 -0.0169276822326368 -0.00500187879169528 -0.0152679859453487 0.0158118442570152 -0.0136521410915278
8 -0.228010247650747 0.0152585942004335 -0.00317175101170453 0.0218408503089993 0.0165232712063373 -0.00713026776199754 0.00164963949445798 0.000897259417393985 -0.000744637219326699 0.000548171946468634 -0.000534175954609051 -0.000154413951966555 0.000291142239544109 -0.000209088462098442 -0.000671460291667553 0.000484320504064406 -8.60532822295739e-05 4.14143949729329e-05 -6.12742408090394e-07 1.16516983526826e-07
9 -0.136730189518552 0.00897160579039075 0.00531899399081875 0.0653086158833006 0.024646223443012 -0.0355197508537287 -0.00445726990884658 0.00260358552684887 -0.00230755994570283 0.00116339179662185 -0.000681073224328755 -8.2062479210773e-05 0.00134234716549041 0.00111433795016665 -0.000100441275329684 0.000724457350099538 0.000141110044898488 -8.35775345068568e-05 -6.99822970399999e-07 -9.77837410764959e-08
10 0.00243814986674633 0.00911310594643585 -0.000645344725324766 -0.0168179029558945 -0.00240629008354034 -0.0277849434620044 -0.0024774715521388 0.00065691136334206 0.0396191349588888 -0.010824058132113 -0.00400509879794823 -0.0105922756549616 -0.000580858667095595 -0.00395535137223807 -0.00736330595572111 0.0075067117613291 0.0270402994944756 0.0269683592189567 -0.0306025703359321 0.0232748477367757
11 -0.000406581426673726 0.0102693777821743 0.00276983058050479 0.0568455035488776 -0.116463998772896 0.0227145420234809 -0.0837530767650916 0.0307804789850897 -0.00491835322269386 0.011326978167039 4.77526294064263e-05 0.00339723586841557 0.037683265635797 0.143256537699349 -0.0345352880968352 -0.0878159013342459 0.0779139803939137 0.123877256268131 0.0487867141551671 0.0359354765619234
12 0.00242843244149447 0.009008049861687 -0.000648056020728008 -0.0170995867598239 -0.00244778118062189 -0.0290178116643983 -0.00249682276723057 2.37717733236192e-05 0.0426349376640066 -0.0120810443554858 -0.00407730264964951 -0.0102895619861763 0.00327844960816272 -0.00641529489826392 -0.00864536056387822 0.00889623900851688 0.0319442190434607 0.0323847963824182 -0.0374415637989197 0.0298230715035858
13 0.00212522937161274 0.010006048581037 -0.000402096410162231 -0.00441682862766873 0.0010091073303796 0.00822156627164886 0.00149215004695258 0.00721303479034377 -0.024791713338854 0.0162586600584961 0.0178160101563244 0.0677285682983804 -0.0126760578774892 0.00617408372129516 0.000748769836570491 0.0038101222270235 -0.0148069252038091 -0.00823678785267262 0.00613086998994395 -0.000365850286756828
14 0.00108155634347314 0.0102778760948331 0.000188399351593068 0.021652251249671 0.0161987545975059 0.045791559506646 0.0229253890164175 -0.0234831510061496 0.0563393438333906 0.0543163669881981 -0.0400745993934985 -0.0041650844602087 0.00157898124672713 -0.00365594997022814 -0.00850813875000068 0.0270959727946905 0.0194350541682687 0.0280830626624916 -0.0145142472082891 -0.0185218298680465
15 0.0023842243415705 0.00969723334629346 -0.00056458384755487 -0.0122114761133478 -0.00154645248820065 -0.0123025799583785 -0.000892445513352174 0.00611471207763976 -0.0166564051978734 -0.0549342553573705 -0.053280995350663 -0.00966258923647524 0.0631073019719047 -0.0362064130874225 -0.00688810163729846 -0.0177249395734137 0.0148943927051253 -0.00274916018674147 0.00719222379360274 -0.00975247251215272
16 0.00208744725732719 0.010034079797478 -0.000376124112820006 -0.00319916375901734 0.0014261925375315 0.0110226446894367 0.0024985517749201 0.00735102050509212 -0.0392108911495608 -0.0492672142420367 -0.0445497950697379 -0.00936955013473287 0.01659353593143 -0.00577341570741008 0.00368605266491436 -0.0122077792128144 -0.011086853444032 -0.012928524913503 0.00912454805712378 -0.00279713201173072
17 0.00241256084791805 0.00957529448177745 -0.000595805279119545 -0.0138442003645609 -0.00182982327755042 -0.0173016592742236 -0.00201954802049203 0.00464387826898092 0.0179648218479223 -0.00219487686432827 -0.00258840615627154 -0.012028238285246 -0.0281735665328424 0.013943591305484 0.00183595832441965 -0.00142969793639119 -0.00525851498255942 -0.00610491823502644 0.00810635020128291 -0.00860123646084616
18 0.00243594814894056 0.00900971080135579 -0.000647967140247887 -0.0170826829795318 -0.00249915124965976 -0.0290245973939074 -0.00206991279047944 -0.000260854606221539 0.0268891045320919 -0.0013990649103533 0.0363232990197386 -0.0375746401379616 0.106676163336575 -0.0653646370091705 -0.0225062595506554 -0.00115638969303171 0.0620954426654668 0.0465069497127925 -0.0496050198078289 0.0426801980716479
19 0.00201238841241109 0.0100737745250266 -0.000333810229111666 -0.00126860610544974 0.00227378113956985 0.0151721549676591 0.00319291758056889 0.00616083755916182 -0.0298056153979528 0.0182625636016905 0.0543391912362732 -0.0419840702180949 0.0135586074172175 -0.00380205784877091 0.00102297154150949 -1.71243385556682e-05 -0.0115499752055197 -0.00659245410687297 0.0030394188947802 0.00334340843402978
20 0.00241541548006331 0.00956319564905975 -0.000598302351086795 -0.013976971015507 -0.00185964931164631 -0.0177266809288383 -0.00204658245837475 0.00451748086451493 0.0187335996184724 -0.00249004138416327 -0.00267003215892264 -0.0119955551961036 -0.0271664380525632 0.0132829669266753 0.00150439787790222 -0.00114199241377293 -0.00418614740291407 -0.00509833640509216 0.00703024656639405 -0.00793425722883038
21 0.00202611044228442 0.0100728241694792 -0.000333922402061483 -0.00125172963463173 0.00218713579035521 0.0151879627728243 0.0039785973543094 0.00423795887695267 -0.00583720994681956 0.0911560150784384 -0.0776260775008378 -0.0183952009557952 0.0247009056542515 -0.00281006417177657 0.0145880054064591 -0.0348954324063731 -0.0227326016698059 -0.0115929650489928 -0.00282030540442082 0.0146388850930822
22 0.0024437265418657 0.00932535184418969 -0.000632124127248301 -0.0158901828010789 -0.00224930729317508 -0.0242126840158882 -0.00237311130920347 0.00224453213026163 0.0315537532425393 -0.00753560648187064 -0.00366866266540026 -0.0112561824030699 -0.0107644614284517 0.00259618473956501 -0.00395581192665699 0.00397956546381259 0.0144817609850492 0.0135224261861399 -0.0141645984117721 0.00841057960300775
23 0.00165003202146775 0.010198026244114 -0.000126689093048985 0.00802643395458777 0.00694000609481165 0.0317681590037528 0.00953566347051537 -0.00109129278156216 -0.027536210176047 -0.0582224273295248 -0.027144405566513 -0.00415639932927407 -0.0109459192972117 0.0091560493717825 0.00148643348258516 0.0114371763286359 0.0006193468845652 0.0161243650186772 -0.0199058327349376 0.0218662832854324
24 0.00204393326085585 0.010058937295323 -0.000350508748459705 -0.00202064849348561 0.00191229921536611 0.0136079529091789 0.00309002900504082 0.00691468861003145 -0.0397523821260541 -0.0494726659586308 -0.0429882899070522 -0.0090318941192216 0.0123313786942134 -0.0030965252230867 0.0041777345780817 -0.0103721317818851 -0.011416242261062 -0.0108705765578823 0.00610705408531234 0.00100208498831355
25 0.00242044284804593 0.00953993165596963 -0.000602850598503001 -0.0142207508600017 -0.00191352076228144 -0.018514006411362 -0.00209484539213203 0.00427640125646034 0.0201800639032194 -0.00304786184423762 -0.00281604808246153 -0.011930324046017 -0.0252810826001239 0.0120475290665473 0.00088217998987869 -0.000594353220963685 -0.00215392204655906 -0.00316896591499263 0.00494288211064507 -0.00654874610714375
26 0.00244410508344367 0.00931007434696352 -0.000633505114239186 -0.0159767809338975 -0.00226499773129049 -0.0245281025594032 -0.00238472171421339 0.00211578103659995 0.0322330990600376 -0.00780906831267686 -0.00370499302713184 -0.0112068235318795 -0.00990776011188536 0.00204219652226302 -0.00424280178216338 0.00426728126678851 0.0155131371932988 0.0146022000915727 -0.0154537710101158 0.00951993325293313
27 0.00244437094260819 0.00925633659364968 -0.000637776226466923 -0.0162543581975836 -0.00231396636215392 -0.025559092256269 -0.00241963911297845 0.00168092730994865 0.0344947509917594 -0.00872392021464361 -0.00381521486047274 -0.0110344684377081 -0.00705753306641858 0.000202579431307168 -0.00519770295568879 0.00523709585139176 0.018979747573395 0.0182648122688158 -0.0198695454139434 0.0134004786894988
28 0.00208304204163153 0.0100367341003654 -0.000373518863533205 -0.00307895851294215 0.00147476578021531 0.0112908958249125 0.00255731522450297 0.00731202253358188 -0.0392880773704753 -0.0492791789367573 -0.0443940575880425 -0.00933777980494766 0.0161419537060205 -0.00548765160143919 0.00374472792537795 -0.0120297585974568 -0.0111444353322159 -0.0127410162629119 0.00883227733163076 -0.00240734889143455
29 0.00208788563064065 0.0100319664267076 -0.000378152340124848 -0.00330475256464994 0.00142393073191351 0.0107524432310415 0.00215905200921685 0.00696488358421036 -0.0290638225991111 0.018747012889067 0.0516610272108657 -0.0425956788072524 0.0207087403460135 -0.00835340613654361 0.000316666090207593 -0.00329468102244788 -0.011154327995649 -0.0104729200776059 0.00835276963263359 -0.0034832497421896
30 0.0221828665392037 0.00814709050819248 -0.013351227620708 -0.122657318446651 0.115847287187807 -0.0297261163342398 0.0350962728568683 0.0118922485639924 0.00457198560996754 -0.000999110121963281 0.000339397365982468 0.000219136038854578 0.00059535505302862 -0.000617230217006881 0.00157833380935374 0.000326459910610475 -5.65960599894569e-05 1.40714857222654e-05 1.30610200385628e-06 -9.36844076981913e-07
31 0.00242083186487364 0.00953801018259174 -0.000603211875408305 -0.0142402310639284 -0.00191777526432088 -0.0185773223811964 -0.00209862427477302 0.00425661935205938 0.0202976546069981 -0.00309334824462267 -0.00282749740450714 -0.0119248100152848 -0.0251283317481729 0.0119475074462941 0.00083168512641999 -0.000549476169976033 -0.00198788092516785 -0.00301010951565157 0.00476958192470872 -0.00642933785456749
32 -0.00344450774486735 0.0102194974387746 0.00211482437533164 0.0989831124762731 0.208051917066674 -0.129165627153828 -0.0551514091200408 -0.166254171239163 -0.182315399808315 0.0566881766482573 -0.0253424126153555 -0.0187411410125941 -0.064959800065961 0.0567224214429967 -0.205570572916652 -0.16212004833453 0.0580453303727137 0.254473743202 0.382005006603182 -0.0948335866517625
