V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V45 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V62 V63 V64 V65 V66 V67 V68 V69 V70 V71 V72 V73 V74 V75 V76 V77 V78 V79 V80 V81 V82 V83 V84 V85 V86 V87 V88 V89 V90 V91 V92 V93 V94 V95 V96 V97 V98 V99 V100
SI_1_WT_Enterocyte 5.17859959900614 -35.8509626000782 -4.47956293460206 -1.89897842796694 -5.58962313194769 -1.47952257393594 1.74242650615945 -2.20373695987465 0.343420367277135 3.13668035908574 0.135285340445377 0.974295507693791 2.16564130187264 -0.870487689206565 0.58050636997941 0.293371045704768 3.35996216717742 -2.2026811266952 5.23223192053454 2.09990960077015 -3.27669005696695 -1.33642822773759 -0.982721641609114 -1.29584221695737 -2.4602733728816 2.14136594810593 -2.22158951861986 1.90958254193784 -0.792374378000296 0.387941633674974 1.54890055894468 -0.189186608617986 0.753910256630707 -1.97338506677912 0.2646487699497 2.44003318069093 0.826713143874445 1.59970015380099 -1.79603946257818 0.860472017257129 -0.905430348139605 -3.02976086065526 -2.00103598541929 0.42818993535157 -0.474359657218341 0.135179252940082 0.429468095046207 -0.810367806907374 -0.111863355750286 -1.05075604262637 2.10120556841602 -0.535335670552231 1.20122346517328 0.981459289844744 0.338228357400653 0.00830896472189355 0.908724678565241 0.133215604892699 -1.08382768193008 -0.972666166663204 0.49944277332139 0.817200208880555 0.16619984813191 -2.75576608886202 -0.407622006244704 0.723143710640827 1.24954882683933 -0.486310470929335 -1.9199210474182 -1.00301924514851 0.531666468801258 -0.221409819866124 0.626387591883374 -0.152015932546822 -0.0964631408874769 -2.05304559982106 -0.196511802166672 0.571098916271173 -1.03882842419446 -0.650414051696174 -0.947204711543677 0.217073512166139 0.0251768529415547 -0.667163678345941 0.427917339643287 -0.821658673509009 -0.755964863003579 -2.51289209788366 -0.886006698134362 2.11934542897554 -0.88870044211487 1.46167521040734 1.78566181440967 0.528236897166154 0.676317043206806 -0.101038756427456 1.79909525194814 0.0196155571979471 1.26155405972583 -0.0185488300154315
SI_2_WT_Stem -4.38493550803892 3.21439205559294 -0.117854810298649 9.11110398649543 2.89054733213828 1.78274576917979 -0.127915577449669 -0.787547934435172 0.376989760527167 -0.442948710175272 -0.302623192619758 0.592583294028481 -0.215281005877152 -1.44200318613958 -0.140050666091537 0.279782559166276 -0.640320290071165 0.882821711006011 0.0641183531383506 -0.0279793374699239 -1.79728212422787 -1.08183634733797 0.374407884169531 1.04865986654568 -0.346202011169613 1.57511887909247 0.922425593062586 1.15845499255618 2.41668283616348 1.64712706654073 1.19160918826919 0.321323966077596 -0.732139570964368 1.19526010512149 0.515269026023486 -1.87136174362544 -0.618663901276516 -0.962117678043963 0.196906863179534 0.555741138601236 -0.00175611929487344 -0.471404765548559 1.21947304078239 -1.31224989013379 -0.850090050749956 0.607638250692808 -0.244866605135424 0.364349623712807 2.77153298659448 0.263734158200646 -1.1303492850087 1.22884490614901 -0.367603043563999 -0.163903037877706 1.14808206630907 -3.56016250612981 2.28954593238477 1.58748050660242 0.754486561429707 0.0850048478736336 1.08132581106024 -0.302496341442622 1.0613727774121 -0.102210348428689 -1.93547829769599 -0.178496757673908 1.12473351291555 -0.133620986254687 0.735663514628747 1.03171649500998 -0.974527469597412 0.875994441175261 0.596615887733665 -2.13056572404924 -2.85275918097236 3.960901227648 -0.27436703150602 0.414206588553455 -1.64667542969236 1.18136516189592 2.3681061315581 -0.852048634791663 0.867404084286019 -0.214920442186846 -3.68807878538856 0.728824393639719 -2.29015423704945 0.658739833173105 -0.345303279770232 -0.254741372306796 1.3740182813545 -0.0675206164100344 -2.99896034130622 -0.845042390108098 1.16997213398416 -0.108603019071289 0.669887146515854 -1.1218428257282 -2.74754499329421 1.99159513509674
SI_3_WT_Stem -5.83779118284344 2.08247357910771 -4.61763826592868 -5.00672859776012 -3.19212200703473 3.20403404239561 -2.81690572416588 -2.17104455093851 -2.49390372964198 -3.96398428302169 -1.31278708091898 -3.2849165981367 0.837889036787064 -0.373045623678663 2.23694719865331 1.316881858453 -1.8830634339121 -1.5123620148399 2.48959153149312 -0.567633964710804 -0.0880053743939712 0.505052285505672 1.28154961653279 0.711922171313658 0.735196944855304 -1.06418887663069 1.30912474349978 -0.92168997198019 0.381310783097569 0.162476868945265 -1.12093690075515 -0.909767666777433 0.455803360534175 -0.34800100116049 0.643675329679665 0.67759874040742 1.31651484869647 1.31055461761891 -0.247695950496621 0.885052448510853 0.668191162821721 1.24842071680784 -2.03659289476307 2.26412268182951 -1.26681377089244 -1.75413871416266 0.559663050018198 -1.4679279469499 -1.82414036810612 -0.845733884630856 0.506679800687271 0.721771458415877 -1.72507965348823 1.45449972239522 -0.660553624073153 -0.268969825439197 -2.17750676486611 -2.66795762895482 -0.575018832405648 1.33313165771218 -2.01381574121026 0.458668954244113 0.0607873718535801 -1.38227646006848 0.0281656551839092 2.9227978968832 -2.84101796533766 1.31238261984323 0.657414547458482 -1.80377692798025 0.314676765893603 0.852298801045136 -0.102450097260572 1.09413476230023 -0.980164309226688 0.224622870675914 -1.24095498816585 3.63557191069855 2.08750418706756 -2.75225568156517 0.974193132769542 -0.843029643268913 -2.76488991757144 -1.98102362635875 2.06368165122549 -1.25806427330766 1.93328408082556 2.40593514912851 -2.1568090085434 2.26911242505138 -1.42225407866375 -2.03129710544819 -0.229085724028106 -1.10701298362467 -0.296936123788011 0.178842969811742 2.36329774741148 0.200812649014559 0.132333406952198 -0.717050074139413
SI_10_WT_Enterocyte 8.27734679426033 -51.4246232342199 -8.34952409177594 -3.27265321362998 -0.608326951561505 0.657248639055872 8.42834862926872 -6.74720984428012 5.05407669495098 10.0000018865669 -1.35249287439156 6.59390325718981 8.42195221165761 -0.500694189967728 -0.0736190313476857 3.14548500436145 12.0932613709384 -6.44912003902503 6.618048185636 1.26798769206792 -1.71446837470488 -1.22756661274555 0.727736260287729 0.423704822470469 -4.38006710394103 5.26990849343847 -5.23774388980595 4.11642094599397 -3.88159869329661 3.68763210057941 6.61019940774087 -1.50524485690877 1.16418398839301 -0.0678865006766585 5.36800801777194 -3.63021484458523 1.61364663806113 6.07580691154815 8.10514178414255 -0.208080111544687 -1.73328736708742 2.32161267228164 -6.57910929792241 0.149097236162168 -1.63153377541499 0.999770415110574 -4.62581871299994 1.01263939875702 -0.487918905022478 -1.35076608590046 -4.84825708415305 2.6231349947013 -3.94567822169482 -2.67838542006717 2.21852186412871 -2.86345148643088 2.04919618063552 -1.77947203918033 -4.27748668587946 3.2105656491276 -5.53663742292354 1.41850246939004 5.87447121243385 1.33536308011595 0.615587511059808 2.99227526721814 -0.554228202490745 2.08531574576426 -0.69418814027257 0.551478041451701 -3.14398464607497 0.00128683339492421 -2.65097429922779 1.60555478205464 -3.31022056827272 -3.1904803893634 -1.25480847625976 -5.0241756925643 5.16604315347832 -0.284541621596157 2.935493463078 4.94726624168942 1.51245544054853 -1.56946161448066 2.829490400657 0.281744736236391 -3.83673896937099 0.00680219669804879 -0.594291711187844 5.71294565164134 -1.31211276924916 0.251937921199314 -2.06522139165938 0.168102268932586 -0.883236110224175 -3.82395573631974 -4.16289373700964 0.375544412791069 -3.66766293340553 -0.0160427382552961
SI_11_WT_Stem -8.99945069483977 8.58019283462102 -8.83840481545984 -11.5787983966646 0.145814556161336 4.14021014184764 -2.84970268186045 -1.9794033292475 -0.27000054699154 -0.57637133767296 -1.28134613254967 0.216054348595203 2.40220191490015 -0.0430834524338297 -0.969778489218825 -2.44881098559764 3.88244202134481 1.59098948346843 -1.13249698041578 -1.35303260310794 0.900068902486487 0.461768475006256 -0.456230812488138 0.932108327205739 0.773014996518425 -1.22112223227935 -1.62503198518255 2.27417598310567 -3.15563299257846 1.36228545635024 -0.16748062880527 -0.904338853894098 1.57801782767108 1.79688026100136 -0.449768132547998 -1.72289733292068 0.323209111388751 1.03817996063369 0.898038675035924 1.8153439293195 -0.810937582278215 -0.918637688711126 1.23565866495206 -0.914082831450423 0.0163013511844609 -0.757975522515494 -2.47225372950222 5.00019237747201 0.41189562729056 -0.734352713604259 -0.286731996919479 -2.02178103636039 -0.175602389149793 2.16945862115677 0.926214568160378 0.690648708623339 -2.27483850167703 1.94396499582428 0.226445504398715 -0.771661220430064 -0.301720801460478 1.70700600088559 -0.723988474150846 0.228263043924052 -1.45314616980668 -0.201893110245632 0.0339506392040531 0.579404530036409 -0.368376363288516 0.958587912618365 1.61296396587753 -2.63764300564544 -0.851638124769906 3.32576546192234 -1.17146131650462 -0.646282267449384 -0.578253251553943 -0.755096427456367 -2.10255377562908 1.0271964647217 1.01496916999021 2.13704853327496 0.134774551906181 -0.749287527001981 -0.661183435149463 2.24913567645924 -1.53872960844306 0.560315867628671 -1.50870338971734 2.69593783778567 -0.450793843882526 2.02541148709478 2.0664451225891 -1.87528027596813 1.1447060162048 0.536280573722133 -2.28895271209366 -2.16204020757232 -0.233612607805832 -3.3250413944892
SI_12_WT_Stem -7.2417716699527 6.00644453751629 -7.34463531246895 -3.02099881066877 0.21741106806606 4.94679743737937 -2.54481559514009 -2.96309187713483 0.382493847202685 -2.69758640305703 -0.397747130431265 0.328041063805444 0.130361500565632 -0.211372431851998 0.771274316118585 1.32342826552767 -1.83915464887403 -0.788396098941206 1.14431494904195 -2.9582309678658 -0.510449122445283 -1.62884393026032 -0.416576352922924 -0.490915455751576 -1.28131395608754 -1.37309965057793 -1.22253828432262 1.75059873514561 -1.76503875392275 0.782676857410328 -2.31076120274128 -1.12581285742245 -1.56049492561594 0.630406160687746 1.6642565464638 1.71286557183042 -1.47189422760392 1.16956705911926 -5.30072588669575 0.798499081056365 0.502195867008405 0.17501880046372 0.687409621834071 -0.195606840520137 -2.60274546198042 1.4686236594064 -1.35846304996636 0.138850598767464 -1.67949100980964 4.35306381345555 -1.94554175332465 2.02560023066344 0.699386621651881 -1.6427555297975 1.81425513138851 3.10352523828491 0.970846183244028 -4.74449324202365 1.03769685427508 0.533848730731973 2.49382630039291 5.06929282679944 1.1457393322296 0.71042532789807 -1.43677145488171 1.57046363963576 -0.352574409012348 -6.71666097291134 -2.01388447703943 5.33098948080751 -3.97896704960303 0.068673940882252 -0.472671345008937 1.62954330880933 1.51253466372475 -3.94742188131909 -1.31937567706424 -0.879645488670839 0.570065294000771 2.02379403830264 4.50580227636305 3.90276155900002 -0.474735245896316 -1.4582412033255 -3.84010603244435 2.35729057983875 -3.22152586221996 3.01031442939322 -2.69266340664533 8.3733233804106 0.0041138080922967 4.30562823765268 -3.08269093090574 2.99048395866192 5.56903347471906 6.26015215681613 -1.82299191473656 -0.796875524473271 2.71174464290646 -1.3712639076703
SI_14_WT_Enterocyte -2.20725013966696 -11.9935015048989 -6.37655091081378 -8.60037752595276 -8.46487657624739 3.20462645719197 -2.75654988509936 -1.22158198451419 -0.141680702619329 -1.10577786262502 -0.0348740410010673 -0.625784562831014 -0.293442736112813 -0.456580888536032 0.0540737021110468 1.12004831962072 -2.44629868518872 -2.03546116808916 -0.428281559532857 -2.18852250224669 -0.103837495997146 0.641804572224414 1.47322168901377 0.509320113814207 0.178631521838535 -0.838091057890665 0.91801947016201 -0.796993189006318 -0.181705231182442 -1.01031638175262 -0.866875707418242 -0.527375416004363 -1.45980556887202 -0.422745298723 0.505400160466189 1.76316731785948 0.300257764076625 0.590274423435589 -1.47849334114427 -0.605813301756767 0.967251459260799 -0.773396059855226 0.548512429906336 -0.152306213969502 -0.470421030304065 -0.79939530464498 -1.12909938940649 -1.27261871023804 -0.70398990861042 0.0990957430460525 -0.500775099589103 -1.12431318645949 0.184722885888534 0.39703515517129 1.65171641702028 0.201497124805988 -0.373317750127165 -1.58115786187293 0.718999983725681 -0.015814345020348 0.137142153423458 -2.05962413686176 -0.20047698930749 -0.590572525726262 -0.174888741467225 0.0212146041662137 0.137739630814613 -0.977375578793634 -1.9096776295164 0.334164470196102 -1.01874071511903 1.00255329865971 -1.54477334593638 -1.13360065572955 -0.243560852174736 0.56784855229779 -1.19538962617468 -2.14101113479631 1.79998982502377 0.319012167297621 1.60752254463493 -0.313444914768191 -0.28606013022515 1.61451581463406 0.511273959288586 -0.248485322869946 -0.846722697298173 -0.662946233771872 1.28337722545975 -0.31776756783271 0.739033520146375 0.695927385884558 0.257986263140889 -0.255207798013633 -0.555213755328314 0.441327841353928 -0.664288380012273 -0.463907297787196 0.246303493062587 0.362710885608833
SI_15_WT_Stem -5.67661321440449 2.42145404718408 -3.52861805400068 -3.46807912763339 -2.92186261045129 3.03800686596642 -4.60741440261943 -0.205955109983288 0.38453102396099 -1.939812539598 0.580398322111468 -0.00488789792006181 -0.58290873931184 -0.339297888489152 -0.444706773422634 -0.590118926449376 -3.47501951136747 -0.688772539166309 0.394260873308368 -2.08579053210498 -0.252072161380832 -1.455960857509 -0.424741639871605 -0.3864289602796 -1.000061635151 -1.54205965835905 -1.40541847384015 1.98116962588658 -1.02368889451402 0.0691802518429128 1.13628725215511 -2.39347796346922 -1.58387895386718 0.147829640090748 0.129935118137897 0.285542153188872 1.43728527266247 2.7357099435949 -3.81830972000363 -0.308550653546027 -0.615254002234886 0.671685525732827 -0.593288176895681 0.815178359303761 -2.14263362215534 -1.06993690326562 -1.31452841395862 -3.46661337360657 -2.09658335005212 0.0632397566192131 -0.343992408358266 0.243581887232718 0.156152246235001 0.470708563625068 0.473300699749927 -0.397453799289203 -2.62367181861057 -0.692490840508542 -2.44845981533477 -1.48610523335289 0.249273538265917 0.104755638056933 0.160626966563103 -0.565784790421814 -1.16575606075472 -1.46393565312223 -1.84556242635803 2.86416475385857 0.683196143582969 0.281116765652295 -2.51767197724998 0.431200191071683 1.18101333252274 -0.293194861446865 -3.72136041006034 -2.05341050224933 -0.988253809354279 -2.15687873200099 1.30247002145848 -0.179752939226861 0.235624357715624 -2.98508230959826 1.49824671153528 0.175348557112262 0.670673182283704 3.16127154687393 -0.966809842675339 1.2659037490462 -0.527552193486819 0.633815046212353 -1.15777026638794 0.192108820011089 0.673476250144721 -0.739057532934387 2.08527232835355 0.00213152756411149 0.780939212909594 1.31944337412732 -2.82964357627373 -2.32342882182722
SI_16_WT_Enterocyte 0.601803586845979 -20.6385018157152 -10.0052807312333 -9.87515504027129 -8.51590433691448 2.03889426643604 -0.479675516224853 -5.68553545087716 -0.974077634983505 0.792304448335431 -0.634732233278726 0.272030156759245 2.12415365460224 -0.572236944137394 0.700129554369477 0.631154468804907 1.78936797193623 -0.413345314084114 3.5299204531129 -0.759864440250042 -0.915571545116615 -0.104846941758847 -0.616256136343546 -0.437353388724473 -0.605658705165679 0.81557960852932 0.101470536721045 0.710014948198135 1.05971076525806 0.505792529511332 -2.06342104610284 -1.21459310887849 -2.16497973159105 -1.67217144111055 0.328327956702324 2.67107802249784 -0.0296174402083078 0.00155387026011324 -3.19862768965218 0.530229953548278 0.299725636809861 -1.07711899258593 -1.21000367405562 0.317446687575923 0.322062095418686 0.16830949885328 -1.13068230673702 -1.42022060068982 -0.86069749141137 0.0670969903486972 -0.167967110614624 -1.11267602997236 -1.01021427927261 1.45447501857837 -1.64700065984629 -0.703497137551283 -0.280410934511752 -0.947965924971223 2.02750532826288 -1.40202339023032 0.633684764793281 -0.406877812975052 -0.212299149567854 0.402538101759703 0.592739195527112 -0.494823467776625 -0.877793248780098 0.134349007691958 -0.00239077912014305 0.153121493400678 0.778084813190949 -0.171370819842631 -0.00735577753963218 -1.53679301034856 1.20233936326569 0.154720349658025 -0.721492079422401 -1.63924087069691 2.28559280562682 -0.0291779195596252 2.12337679782354 -0.874530966497279 -0.0655697849439677 0.268027300153594 0.923845052325343 -1.49269781471624 0.322487953824851 -0.552535457597728 -0.236155563247864 0.561816062568163 -0.530104366249604 -0.131568919001892 -0.652645497870116 -0.261020688326058 1.07149926610884 -0.166117070681259 -1.16809265571342 0.0310483276037405 0.220394561942927 -0.138452977314658
SI_17_WT_Stem -0.994682476602578 6.2640108912241 1.01232879077365 7.41162266669875 1.82188992847737 1.19043324754707 0.759201513780949 2.79383683771622 1.00937117022645 1.88870420119147 2.15325552049265 -2.0788710150476 -2.53990879827954 1.06739620810688 0.332077872828319 -5.35743546333028 -3.72462221352581 -2.36761016379269 4.31996281130179 -0.122814710433807 0.200352390253955 -3.27075016117812 2.6215752941582 1.03454257153915 0.574644924548371 -5.59241238048616 -5.90345403045402 7.22031270628382 -5.54963961966736 1.48067308443987 4.63337114996754 -5.10734329913612 0.914344095782008 2.31446621098409 -3.11162242081396 -1.79166466094477 1.82500754914575 -6.0921742210143 -5.30250816633779 -3.20468676587061 2.48190432909049 1.03089861348542 2.86708583384816 -5.02334464305325 -6.53140168005586 2.01820222178685 -3.72519968306697 2.44956635024033 0.936047583029469 -0.459589774845099 -6.59560266448327 3.22066806123202 -6.43592878087354 5.64276447577935 8.05575566562495 -3.80957434840102 11.932592417163 6.86572574693696 -0.797919530921239 7.48529660458503 5.00222309387798 0.35416052555943 0.31567273451629 2.18830751562538 7.71664165631247 3.3465196537202 -1.5179990240928 5.37731518576502 8.2018522502046 -7.32556300716436 0.700285502833815 7.87307088031484 -4.19738833232153 -5.08802990926711 8.52108109586497 5.2608470349397 -7.30273836113556 0.493944556951134 5.51434709097193 5.42540025570039 9.23767238892878 -2.20286366245755 -5.86016705085585 7.28699156229015 5.47413486057311 -0.409435423433682 2.15390752349865 -6.86396939976803 -6.19454207947027 4.83846505540819 1.60026371871263 -2.59662148714674 1.5012641907951 -4.37752392206948 1.58002141574361 -2.84333195887987 7.31869273634155 2.28221208150436 3.15809871564569 -2.22687097158522
